combined_contraction,acc_y_derivative,elbow_angle,state
1.0, -0.07714342325925827, 4.371090412139893, 'flexion_heavy_vertical'
1.0, -0.04323769733309746, 4.3749613761901855, 'flexion_heavy_vertical'
1.0, -0.06485641747713089, 4.386684417724609, 'flexion_heavy_vertical'
1.0, -0.0645294263958931, 4.400439739227295, 'flexion_heavy_vertical'
1.0, -0.045653071254491806, 4.398255825042725, 'flexion_heavy_vertical'
1.0, -0.034705955535173416, 4.383946418762207, 'flexion_heavy_vertical'
1.0, 0.009172807447612286, 4.361993312835693, 'flexion_heavy_vertical'
1.0, 0.09135565906763077, 4.346077919006348, 'flexion_heavy_vertical'
1.0, 0.10888277739286423, 4.34218168258667, 'flexion_heavy_vertical'
1.0, 0.10383258014917374, 4.344122409820557, 'flexion_heavy_vertical'
1.0, 0.09858087450265884, 4.338107585906982, 'flexion_heavy_vertical'
1.0, 0.07965195178985596, 4.331928730010986, 'flexion_heavy_vertical'
1.0, 0.05615294724702835, 4.323915958404541, 'flexion_heavy_vertical'
1.0, 0.06461331993341446, 4.309968948364258, 'flexion_heavy_vertical'
1.0, 0.09387274086475372, 4.292229652404785, 'flexion_heavy_vertical'
1.0, 0.11763165891170502, 4.272231578826904, 'flexion_heavy_vertical'
1.0, 0.1230946034193039, 4.264215469360352, 'flexion_heavy_vertical'
1.0, 0.09721645712852478, 4.266114234924316, 'flexion_heavy_vertical'
1.0, 0.0879984200000763, 4.262171268463135, 'flexion_heavy_vertical'
1.0, 0.07194309681653976, 4.25609827041626, 'flexion_heavy_vertical'
1.0, 0.04382408410310745, 4.254127502441406, 'flexion_heavy_vertical'
1.0, 0.007569258101284504, 4.258304119110107, 'flexion_heavy_vertical'
1.0, 0.032958585768938065, 4.242607593536377, 'flexion_heavy_vertical'
1.0, 0.03439953550696373, 4.238309383392334, 'flexion_heavy_vertical'
1.0, 0.03072189725935459, 4.233842849731445, 'flexion_heavy_vertical'
1.0, 0.0660056620836258, 4.195790767669678, 'flexion_heavy_vertical'
1.0, 0.12049467116594315, 4.156883239746094, 'flexion_heavy_vertical'
1.0, 0.1251526027917862, 4.138053894042969, 'flexion_heavy_vertical'
1.0, 0.2316422313451767, 4.109352111816406, 'flexion_heavy_vertical'
1.0, 0.2336912751197815, 4.100584506988525, 'flexion_heavy_vertical'
1.0, 0.17020002007484436, 4.113736629486084, 'flexion_heavy_vertical'
1.0, 0.10120975226163864, 4.140896797180176, 'flexion_heavy_vertical'
1.0, -0.08916431665420532, 4.181853771209717, 'flexion_heavy_vertical'
1.0, -0.33204904198646545, 4.268682479858398, 'flexion_heavy_vertical'
1.0, -0.5435929894447327, 4.388068675994873, 'flexion_heavy_vertical'
1.0, -0.8344329595565796, 4.4933953285217285, 'flexion_heavy_vertical'
1.0, -0.8654911518096924, 4.547016143798828, 'flexion_heavy_vertical'
1.0, -0.7593861818313599, 4.584867000579834, 'flexion_heavy_vertical'
1.0, -0.8078100681304932, 4.644566535949707, 'flexion_heavy_vertical'
1.0, -0.7671095132827759, 4.699099540710449, 'flexion_heavy_vertical'
1.0, -0.5340202450752258, 4.74623966217041, 'flexion_heavy_vertical'
1.0, -0.5174869298934937, 4.774116516113281, 'flexion_heavy_vertical'
1.0, -0.43683627247810364, 4.751572608947754, 'flexion_heavy_vertical'
1.0, -0.12147276103496552, 4.670444488525391, 'flexion_heavy_vertical'
1.0, 0.19805867969989777, 4.5645904541015625, 'flexion_heavy_vertical'
1.0, 0.4057669937610626, 4.489487171173096, 'flexion_heavy_vertical'
1.0, 0.47475582361221313, 4.461698055267334, 'flexion_heavy_vertical'
1.0, 0.5279353260993958, 4.4160542488098145, 'flexion_heavy_vertical'
1.0, 0.4913340210914612, 4.347954750061035, 'flexion_heavy_vertical'
1.0, 0.3752041161060333, 4.323678493499756, 'flexion_heavy_vertical'
1.0, 0.23939216136932373, 4.329195022583008, 'flexion_heavy_vertical'
1.0, 0.2314245104789734, 4.317674160003662, 'flexion_heavy_vertical'
1.0, 0.16693617403507233, 4.308885097503662, 'flexion_heavy_vertical'
1.0, 0.08581657707691193, 4.3021159172058105, 'flexion_heavy_vertical'
1.0, -0.03178808093070984, 4.347054481506348, 'flexion_heavy_vertical'
1.0, -0.22287163138389587, 4.414074897766113, 'flexion_heavy_vertical'
1.0, -0.34791094064712524, 4.485011100769043, 'flexion_heavy_vertical'
1.0, -0.49240922927856445, 4.5623626708984375, 'flexion_heavy_vertical'
1.0, -0.747316837310791, 4.641320705413818, 'flexion_heavy_vertical'
1.0, -0.7750118970870972, 4.702558517456055, 'flexion_heavy_vertical'
1.0, -0.6492692828178406, 4.752023696899414, 'flexion_heavy_vertical'
1.0, -0.6277927756309509, 4.801453113555908, 'flexion_heavy_vertical'
1.0, -0.6956339478492737, 4.93548583984375, 'flexion_heavy_vertical'
1.0, -0.7397627830505371, 5.099633693695068, 'flexion_heavy_vertical'
1.0, -1.0839252471923828, 5.250370502471924, 'flexion_heavy_vertical'
1.0, -1.3962652683258057, 5.3801445960998535, 'flexion_heavy_vertical'
1.0, -1.5028010606765747, 5.508292198181152, 'flexion_heavy_vertical'
1.0, -1.8041620254516602, 5.634566307067871, 'flexion_heavy_vertical'
1.0, -1.948141098022461, 5.776785850524902, 'flexion_heavy_vertical'
1.0, -1.9350520372390747, 5.923120975494385, 'flexion_heavy_vertical'
1.0, -1.787536859512329, 6.063407897949219, 'flexion_heavy_vertical'
1.0, -2.0200815200805664, 6.205687999725342, 'flexion_heavy_vertical'
